colorname,hc,hr,sc,sr,lc,lr
rot,356.39935996088235,17.95012843613773,100.0,50.00000002446654,49.95970597915931,29.868921221496066
orange,32.899664473126734,15.383933860700223,100.0,50.000000017198715,49.88426361176446,30.092525936206776
braun,34.6841012350877,15.477954646892451,100.0,49.999999981070694,20.11257505195582,20.077979412432995
gelb,58.97676109763654,11.523112494912855,100.0,50.00000003731778,49.76950930180004,29.977796076059935
olive,64.99601136062576,14.996011360625756,100.0,49.99999998458217,19.99601204178458,19.996012088145022
grün,121.86362836119797,43.31525831684251,100.0,49.99999990411877,50.372141555358915,1.0
blattgrün,128.74201438596313,5.775613371348326,100.0,49.999999970934134,0.0,42.68896040228819
türkis,161.9336709465082,3.839437655214726,100.0,49.99999997686085,49.804016847151956,29.82955730137459
blau,240.60666944442713,14.580565540668415,100.0,50.00000033516959,50.23957148059036,27.224953124505433
marinblau,235.69568660650938,14.857894863082011,100.0,49.99999984193689,22.0667044665089,21.793123037515368
lila,288.76438281216264,22.563900435653352,100.0,50.00000057602536,48.51911764028889,31.788589109964576
indigo,280.25210547579024,20.483356816887035,100.0,50.00000002132687,0.0,39.605192505350786
pink,325.24964495553144,23.82013988412483,100.0,50.00000034500519,54.43028490252908,25.69046465559018
bordeaux,351.8863947277444,16.740707709444415,100.0,50.000000402961255,18.84582438718324,19.23470760237388
