colorname,hc,hr,sc,sr,lc,lr
rot,0,20,100,50,50,30
orange,35,15,100,50,50,30
braun,35,15,100,50,20,20
gelb,65,15,100,50,50,30
olive,65,15,100,50,20,20
grün,120,40,100,50,50,30
blattgrün,150,20,100,50,20,20
türkis,180,20,100,50,50,30
blau,230,30,100,50,50,30
marinblau,240,25,100,50,20,20
lila,280,20,100,50,50,30
indigo,280,20,100,50,20,20
pink,317,17,100,50,50,30
bordeaux,350,20,100,50,20,20
