colorname,hc,hr,sc,sr,lc,lr
rot,343.87580949280164,10.448658742288563,100.0,49.999999950369855,48.83250759740511,29.205265536984218
orange,28.53451382700966,13.828918510352148,100.0,50.00000000624541,51.1698810109126,30.098260759603843
braun,33.50941761719622,10.09736269460631,100.0,49.99999939310659,19.9832685537061,18.970570913208313
gelb,63.466659446532695,15.988150107262634,100.0,50.00000003292991,51.436243583635274,29.417280086427112
olive,53.934746362404255,7.8703746872266676,100.0,49.99999841705461,0.0,40.94109885649987
grün,120.38119740108121,40.70938146226649,100.0,50.00000001514102,55.17303380829228,19.76870644310283
blattgrün,138.5003468533176,13.35843594893399,100.0,49.99999995716047,0.0,41.97559862275652
türkis,188.20986576300442,17.70606849063667,100.0,50.00000002630575,51.9126423198745,29.92120403316543
blau,233.72167999499356,25.56602662140523,100.0,50.00000002664938,44.58613528050437,30.459445498886176
marinblau,239.63735889460543,29.737152119936436,100.0,50.00000000034363,0.0,38.674837861050975
lila,273.82156588102714,14.861424521147349,100.0,49.999999995131624,49.300797862750784,30.10150704689177
indigo,279.9662015156973,20.073604670707596,100.0,50.00000014250577,0.18949570691946604,39.82301575028364
pink,334.40962993086754,1.00504766412765,100.0,49.999999993760404,51.792455098828114,30.16511622220814
bordeaux,349.2635460790928,22.09174882878489,100.0,49.99999212489887,19.858281488894345,19.721152928369584
