colorname,hc,hr,sc,sr,lc,lr
rot,351.42649566763504,5.886622943696874,100.0,50.00000000139115,50.81011195349513,29.58628234615082
orange,38.09348011016846,1.0,100.0,47.08270608277584,0.0,1.0
braun,28.547514937889368,23.50595254368535,100.0,50.0000000048444,23.319564569566655,22.195748244363234
gelb,184.57342190695468,180.0,100.0,1.0000000224269818,100.0,100.0
olive,61.177513429023065,11.889599627515786,100.0,50.000000039315864,0.0,41.1115500060064
grün,98.5038628316508,22.116957989240653,100.0,50.00000012542454,46.163342103875934,29.457448261932726
blattgrün,150.09212680071704,30.042864407029803,100.0,50.00000005658236,33.433063729556444,28.503922429411936
türkis,184.8495541310577,27.477521970625794,100.0,49.99999998891378,49.57044167069126,30.095095984642132
blau,232.33178125139116,32.97809962778631,100.0,49.99999981754556,62.16523007244756,10.612990799183653
marinblau,241.80667890885925,27.21579234832729,100.0,50.00000000765292,21.54235846126604,21.25422595859132
lila,291.02753478439644,10.937927654162078,100.0,50.00000001212308,50.073391811402644,29.977429561803746
indigo,277.6227656676762,22.095458282096985,100.0,49.99999991036835,15.263113518376034,11.170764896664032
pink,310.7283008315807,5.562623835672907,100.0,49.999999987209826,50.3096936205031,29.847975983123668
bordeaux,350.696029891337,21.954215050825432,100.0,50.00000042117855,15.560430340094285,13.317904101907759
