colorname,hc,hr,sc,sr,lc,lr
rot,1.6211506230345898,17.37799812901595,100,27.815226811716766,47.92671632072608,17.655735879202055
orange,29.146675807856685,15.708748343693998,100,29.80202872683939,52.485907712748116,18.514674850662423
braun,37.895480597596276,14.48201839126867,100,37.941728395061716,25.909736751641518,16.72029358941718
gelb,63.9469613853356,17.237659164181665,100,27.815226811716766,51.03301826987173,17.20807574661427
olive,66.60716778872548,13.793049907042501,100,42.078664329675995,24.55324444444444,18.252037052259045
grün,125.25451435039915,36.572408873602825,100,43.55555555555555,46.48268641975309,26.862381963108053
blattgrün,130.60821126602227,27.74041396991873,100,28.791495072092665,35.389182029613785,16.691728351639426
türkis,178.1224389342989,17.227890987385685,100,37.94172839506172,51.42740116894376,23.796730504664538
blau,232.98936027294639,28.305980236393335,100,34.21151256907583,51.05329950105162,21.150499819339945
marinblau,243.4899984021164,23.755407855983943,100,42.078664329675995,25.78375111111111,19.476124002060352
lila,284.18791065773314,12.629923234112423,100,24.23015313376216,49.70264897645654,16.18149028006089
indigo,274.76688511601975,19.895291173494737,100,42.078664329675995,24.31539621399177,18.19015746003819
pink,318.2352670076093,14.892192442533796,100,31.93074506447077,50.4321722193878,19.724742208608365
bordeaux,343.08518003149953,21.908621129085525,100,42.078664329675995,23.135977613168723,17.513327972152485
