colorname,hc,hr,sc,sr,lc,lr
rot,359.803758988528,90.98311260711226,100,43.55555555555555,50.09327407407408,26.263299487061897
orange,32.328487378018,12.701530270510068,100,35.41227983539094,50.845263180751004,21.420186290156373
braun,34.85269582359372,13.980122710133436,100,45.08428321036714,23.305481481481483,19.46986312107409
gelb,65.34263921383018,13.013271730363021,100,42.078664329675995,50.16828971193414,25.325561339754742
olive,80.57612877672709,38.09102457315976,100,36.655192038295525,26.737491275786816,16.53153326126875
grün,120.64166288096817,37.767155364766495,100,45.08428321036714,50.51911111111111,27.153143286201466
blattgrün,146.81790770439588,21.90860787030601,100,46.666666666666664,22.333333333333332,19.65705980048898
türkis,185.52577217361448,20.91360306777965,100,43.55555555555555,49.63405432098766,26.30254158131027
blau,226.65357899419828,30.50208671436338,100,42.078664329675995,48.83680263374485,25.574642618340953
marinblau,239.49396468883162,24.19908294859294,100,43.55555555555555,23.472039506172838,18.53842118914374
lila,289.3075839174047,17.37989772062826,100,31.93074506447077,44.61050430820126,20.649827913377084
indigo,280.0,20.0,100,50.0,20.0,20.0
pink,317.26649145854213,16.453841160032717,100,48.3045891539648,50.13333333333333,28.987046915629207
bordeaux,348.8315468923471,140.51594281859306,100,39.273420041030924,25.508674727389117,17.308155733113406
