colorname,hc,hr,sc,sr,lc,lr
rot,1.524216950818905,24.490044079599144,100.0,49.999999895493175,49.01751719994869,29.936183523182894
orange,29.039250875034497,8.861892271086145,100.0,49.99999992047593,52.327599301791594,29.57981883221519
braun,35.23598937151059,13.96003475279915,100.0,49.999999999090925,20.389261115793207,20.20511484797759
gelb,60.732251628382215,13.410464557590577,100.0,49.99999953448819,51.22772270140439,29.52252427736701
olive,69.58513915662627,12.909988846049153,100.0,50.00000002938527,25.72351811279645,21.0012821483102
grün,122.70662390875005,42.12748645788458,100.0,50.00000034203975,53.538497146081255,27.934430655019113
blattgrün,137.65184331660828,18.601339311324477,100.0,50.00000006546537,20.165433734642253,14.28822596564094
türkis,186.0533956119743,33.10313405846431,100.0,50.00000030338124,64.13183156736793,5.840506184009931
blau,213.4679400356402,38.34889214446156,100.0,50.000000824423566,49.06640716850528,30.034188475150376
marinblau,237.7854280847149,16.59904621360177,100.0,49.99999873468091,0.02761682605267224,45.51400562870318
lila,279.135972881457,21.11408513173498,100.0,50.00000000646666,0.0,1.0
indigo,280.3118286143926,16.302961322138405,100.0,49.999999721874524,22.716282108543258,21.93825032610222
pink,314.75668779300594,1.0,100.0,49.99999997899242,49.88488029836457,29.781949607754278
bordeaux,350.6827574496593,14.544516063997651,100.0,50.00000002521113,22.24609569315697,22.023315483040697
