colorname,hc,hr,sc,sr,lc,lr
rot,2.9149685945010986,18.076641877260776,100,33.05146117969821,46.71592232040848,20.717714282415425
orange,27.798050001565333,17.17596677411762,100,37.941728395061716,51.07585971250724,23.17569461700419
braun,33.94918320947795,15.307567017784855,100,46.666666666666664,21.986666666666668,19.34146526296595
gelb,66.49535126835677,19.958932505793904,100,34.21151256907583,51.11116763772132,20.861798497151476
olive,66.72195051104028,14.270238627358522,100,43.55555555555555,24.021333333333335,18.780000129373246
grün,123.7381098831001,37.37651808767344,100,45.08428321036714,47.08859259259259,27.706004751444404
blattgrün,127.92698904571333,28.715217139412882,100,33.05146117969821,35.364544467128205,19.15156886858417
türkis,178.34536046854942,17.81162958184943,100,39.273420041030924,52.95792982386831,23.908063445997808
blau,236.40603635454303,27.144089632950344,100,40.651851851851845,51.611336252400555,24.541128281666168
marinblau,241.05434527213313,22.43841911449826,100,43.55555555555555,25.33973333333333,20.0862234537721
lila,282.91997948430367,15.814291763079313,100,34.21151256907583,49.03382676238599,21.68685259299465
indigo,278.4500894391158,18.317219609597483,100,45.08428321036714,22.68859259259259,18.83707190761059
pink,319.9608403574086,15.549074845196433,100,37.941728395061716,50.102600068233485,23.27023058527441
bordeaux,345.4363212840921,23.100033953359493,100,46.666666666666664,21.475555555555555,19.038095281150273
