colorname,hc,hr,sc,sr,lc,lr
rot,350.8986863422293,7.515526169054206,100.0,50.00000000956682,54.70880564914969,26.8110512441862
orange,31.304450109908807,16.049653631986068,100.0,49.9999999406983,54.664552202981085,28.377984571963346
braun,33.578958947223754,20.007032539519965,100.0,49.999999971112025,27.60383418497481,24.05606335408638
gelb,62.07361971739862,20.339693045893625,100.0,49.999999870860094,54.10297289543472,29.46412012589904
olive,60.79201715594157,18.487338748618175,100.0,50.00000015359274,23.28174355653013,21.869191729893057
grün,301.25317034870386,180.0,100.0,1.0,0.0,1.0
blattgrün,326.6509708224071,180.0,100.0,100.0,100.0,100.0
türkis,187.17046961275452,28.733139422189574,100.0,50.00000006232598,53.46605214811039,28.83479639444001
blau,258.31751218969384,21.647445907888287,100.0,50.00000013952205,50.00933420444923,28.701527193865726
marinblau,237.48287441325712,33.99441587388031,100.0,50.000000087817355,28.051563541976446,23.287461184219932
lila,282.4479929185971,19.30158810643179,100.0,50.00000000416866,52.0436633484889,28.6226665722461
indigo,280.941171208327,20.233320992609418,100.0,50.000000210836575,22.04030685910748,21.150723222024922
pink,301.1927959916554,22.576989312643775,100.0,50.000000136577555,54.68817070769563,30.85097282591409
bordeaux,354.1107090345536,21.766957839270397,100.0,50.00000002618859,24.836992369590902,22.462396998208533
