colorname,hc,hr,sc,sr,lc,lr
rot,346.85834729171034,17.453103829433044,100.0,49.99999996459623,55.82954852192347,8.48016943615263
orange,3.2212150174867746,1.0,100.0,49.99971509453895,0.0,100.0
braun,34.54373923507429,17.5684338502825,100.0,50.00053562096303,19.753956024735064,18.556034169218492
gelb,58.90601933577024,9.997854278424045,100.0,50.00020988105205,49.96852210641448,29.492134979195264
olive,60.17837338962953,8.090093418963198,100.0,49.999996386497884,19.32378310575715,19.062825383422
grün,117.36989629063882,41.57604295799253,100.0,49.99999955482482,48.81227466280784,29.723642935772148
blattgrün,144.98278405625075,27.76923024509087,100.0,50.00000048460586,19.98862673385708,13.969354653004565
türkis,183.02306226579574,31.381691613877642,100.0,49.99999960897917,58.36286590520437,12.343078604144345
blau,239.03167460387095,33.74318693594689,100.0,50.000000237968436,55.44112660163993,28.74022268698012
marinblau,236.20891501090625,28.05606750041497,100.0,50.000000021065006,23.738089038187077,20.490303073177287
lila,288.7102023577648,17.142576644290976,100.0,50.00000004639521,49.94509217002283,29.99415401712137
indigo,282.2783053164441,23.04650323006529,100.0,50.000000024983414,18.917803095488942,12.611464046346384
pink,317.4185045664848,22.587785730047845,100.0,49.99999985126903,52.72171635583291,27.766484137441378
bordeaux,336.7052954835923,3.6274493254171505,100.0,50.000000017135115,18.45098977614945,18.247109104954838
