colorname,hc,hr,sc,sr,lc,lr
rot,359.3260874467452,19.277856052230202,100.0,49.99999996905566,50.02733974664468,29.99815106394988
orange,27.4011152139615,6.568722255403567,100.0,50.00000002702825,51.926433997148244,28.678242462148592
braun,34.9025990309942,15.35698960177014,100.0,49.99999996526848,23.065954226314442,21.829075184734464
gelb,61.76837458049437,16.396881011554523,100.0,50.00000023767301,52.0519430882112,29.017437877197924
olive,59.54375916191701,13.531381535976685,100.0,50.00000034633353,20.647262458058268,20.46815005055594
grün,111.12606564495655,35.89547105337772,100.0,49.999999870828745,47.49230798727237,30.316509610938635
blattgrün,147.1597929505241,20.554563121863094,100.0,50.00000003139988,28.84667134981644,27.467793287990887
türkis,174.39897750087988,8.876880679448456,100.0,49.999999995240834,50.1136053599472,29.981081370761817
blau,228.38179214756497,28.500820777145638,100.0,50.00000048539444,50.678615162656214,29.597523931713333
marinblau,239.7454635752231,28.591904985628187,100.0,50.0000000066143,24.75224683191477,24.105824637859914
lila,285.8789579901663,21.675555277229407,100.0,50.00000024082461,49.13476420610187,30.576599433044045
indigo,280.0,20.0,100.0,50.0,20.0,20.0
pink,314.5547453298671,4.854157927211682,100.0,50.00000008854634,51.12526306774702,29.281999343443324
bordeaux,350.0,20.0,100.0,50.0,20.0,20.0
